"Time"	"Si1"
0.51477844	-39
0.51533844	-39
0.51589844	-39.1875
0.51645844	-39.1875
0.51701844	-39.09375
0.51757844	-39.1875
0.51813844	-39.09375
0.51869844	-39.09375
0.51925844	-39.09375
0.51981844	-38.90625
0.52037844	-39.09375
0.52093844	-39.09375
0.52149844	-39.1875
0.52205844	-39.09375
0.52261844	-39.09375
0.52317844	-39.09375
0.52373844	-39.09375
0.52429844	-39.09375
0.52485844	-39
0.52541844	-39
0.52597844	-39
0.52653844	-39.09375
0.52709844	-39.1875
0.52765844	-39.09375
0.52821844	-39.375
0.52877844	-39.28125
0.52933844	-39.375
0.52989844	-39.1875
0.53045844	-39.1875
0.53101844	-39.1875
0.53157844	-39.09375
0.53213844	-39.1875
0.53269844	-39.09375
0.53325844	-39.1875
0.53381844	-39.28125
0.53437844	-39.1875
0.53493844	-39.1875
0.53549844	-39.1875
0.53605844	-39.1875
0.53661844	-39
0.53717844	-39
0.53773844	-39.1875
0.53829844	-39.09375
0.53885844	-39.1875
0.53941844	-39.1875
0.53997844	-39.1875
0.54053844	-39.1875
0.54109844	-39.09375
0.54165844	-39.09375
0.54221844	-39
0.54277844	-39.1875
0.54333844	-39.1875
0.54389844	-39.09375
0.54445844	-39.1875
0.54501844	-39.09375
0.54557844	-39.09375
0.54613844	-39.1875
0.54669844	-39.09375
0.54725844	-39
0.54781844	-39
0.54837844	-39.09375
0.54893844	-39.09375
0.54949844	-39.09375
0.55005844	-39.1875
0.55061844	-39.28125
0.55117844	-39.09375
0.55173844	-39.1875
0.55229844	-39
0.55285844	-39
0.55341844	-39
0.55397844	-39.09375
0.55453844	-39.1875
0.55509844	-39.1875
0.55565844	-39.09375
0.55621844	-39.28125
0.55677844	-39.09375
0.55733844	-39.1875
0.55789844	-39
0.55845844	-39.1875
0.55901844	-39.1875
0.55957844	-39.09375
0.56013844	-39.09375
0.56069844	-39.09375
0.56125844	-39.1875
0.56181844	-39.1875
0.56237844	-39.28125
0.56293844	-39.1875
0.56349844	-39.09375
0.56405844	-39.09375
0.56461844	-39
0.56517844	-39.09375
0.56573844	-39.09375
0.56629844	-39.09375
0.56685844	-39.1875
0.56741844	-39.09375
0.56797844	-39.09375
0.56853844	-39
0.56909844	-39
0.56965844	-39.09375
0.57021844	-39
0.57077844	-39
0.57133844	-39
0.57189844	-39.09375
0.57245844	-39.1875
0.57301844	-39
0.57357844	-39
0.57413844	-39
0.57469844	-39
0.57525844	-38.8125
0.57581844	-38.90625
0.57637844	-39
0.57693844	-39
0.57749844	-38.90625
0.57805844	-38.90625
0.57861844	-39
0.57917844	-39
0.57973844	-39
0.58029844	-39
0.58085844	-38.71875
0.58141844	-38.8125
0.58197844	-38.8125
0.58253844	-38.90625
0.58309844	-38.71875
0.58365844	-38.8125
0.58421844	-38.90625
0.58477844	-38.8125
0.58533844	-38.8125
0.58589844	-38.8125
0.58645844	-38.8125
0.58701844	-38.71875
0.58757844	-38.71875
0.58813844	-38.71875
0.58869844	-38.71875
0.58925844	-38.8125
0.58981844	-38.8125
0.59037844	-38.90625
0.59093844	-38.71875
0.59149844	-38.625
0.59205844	-38.71875
0.59261844	-38.71875
0.59317844	-38.71875
0.59373844	-38.71875
0.59429844	-38.8125
0.59485844	-38.8125
0.59541844	-38.8125
0.59597844	-38.8125
0.59653844	-38.71875
0.59709844	-38.71875
0.59765844	-38.625
0.59821844	-38.8125
0.59877844	-38.625
0.59933844	-38.625
0.59989844	-38.625
0.60045844	-38.71875
0.60101844	-38.625
0.60157844	-38.625
0.60213844	-38.53125
0.60269844	-38.4375
0.60325844	-38.34375
0.60381844	-38.53125
0.60437844	-38.4375
0.60493844	-38.4375
0.60549844	-38.4375
0.60605844	-38.4375
0.60661844	-38.625
0.60717844	-38.625
0.60773844	-38.4375
0.60829844	-38.4375
0.60885844	-38.34375
0.60941844	-38.4375
0.60997844	-38.4375
0.61053844	-38.53125
0.61109844	-38.625
0.61165844	-38.625
0.61221844	-38.625
0.61277844	-38.625
0.61333844	-38.4375
0.61389844	-38.53125
0.61445844	-38.34375
0.61501844	-38.53125
0.61557844	-38.53125
0.61613844	-38.53125
0.61669844	-38.625
0.61725844	-38.71875
0.61781844	-38.71875
0.61837844	-38.71875
0.61893844	-38.71875
0.61949844	-38.625
0.62005844	-38.625
0.62061844	-38.625
0.62117844	-38.71875
0.62173844	-38.8125
0.62229844	-38.8125
0.62285844	-38.8125
0.62341844	-38.8125
0.62397844	-38.71875
0.62453844	-38.8125
0.62509844	-38.71875
0.62565844	-38.90625
0.62621844	-38.90625
0.62677844	-38.90625
0.62733844	-39
0.62789844	-39
0.62845844	-39
0.62901844	-39.09375
0.62957844	-38.90625
0.63013844	-38.8125
0.63069844	-39
0.63125844	-38.90625
0.63181844	-39
0.63237844	-39.09375
0.63293844	-39.09375
0.63349844	-39.09375
0.63405844	-39.09375
0.63461844	-39.1875
0.63517844	-39.09375
0.63573844	-39
0.63629844	-39.1875
0.63685844	-39
0.63741844	-39
0.63797844	-39.09375
0.63853844	-39.1875
0.63909844	-39.28125
0.63965844	-39.28125
0.64021844	-39.28125
0.64077844	-39.375
0.64133844	-39.375
0.64189844	-39
0.64245844	-39.1875
0.64301844	-39.28125
0.64357844	-39.28125
0.64413844	-39.375
0.64469844	-39.46875
0.64525844	-39.28125
0.64581844	-39.1875
0.64637844	-39.1875
0.64693844	-39.28125
0.64749844	-39.1875
0.64805844	-39.28125
0.64861844	-39.375
0.64917844	-39.28125
0.64973844	-39.375
0.65029844	-39.5625
0.65085844	-39.46875
0.65141844	-39.28125
0.65197844	-39.375
0.65253844	-39.375
0.65309844	-39.28125
0.65365844	-39.375
0.65421844	-39.46875
0.65477844	-39.46875
0.65533844	-39.46875
0.65589844	-39.46875
0.65645844	-39.375
0.65701844	-39.375
0.65757844	-39.46875
0.65813844	-39.46875
0.65869844	-39.375
0.65925844	-39.46875
0.65981844	-39.28125
0.66037844	-39.375
0.66093844	-39.375
0.66149844	-39.46875
0.66205844	-39.375
0.66261844	-39.5625
0.66317844	-39.28125
0.66373844	-39.28125
0.66429844	-39.28125
0.66485844	-39.1875
0.66541844	-39.28125
0.66597844	-39.28125
0.66653844	-39.28125
0.66709844	-39.46875
0.66765844	-39.375
0.66821844	-39.46875
0.66877844	-39.28125
0.66933844	-39.28125
0.66989844	-39.09375
0.67045844	-39.1875
0.67101844	-39.1875
0.67157844	-39.28125
0.67213844	-39.46875
