"Time"	"0 Si2"
231.2028	-43.443848
231.20336	-43.632324
231.20392	-43.726563
231.20448	-43.632324
231.20504	-43.726563
231.2056	-43.726563
231.20616	-43.538086
231.20672	-43.632324
231.20728	-43.632324
231.20784	-43.726563
231.2084	-43.726563
231.20896	-43.820801
231.20952	-43.820801
231.21008	-44.009277
231.21064	-44.009277
231.2112	-44.009277
231.21176	-43.915039
231.21232	-43.915039
231.21288	-43.915039
231.21344	-43.820801
231.214	-44.009277
231.21456	-43.915039
231.21512	-43.915039
231.21568	-43.915039
231.21624	-44.103516
231.2168	-44.009277
231.21736	-44.009277
231.21792	-43.915039
231.21848	-43.726563
231.21904	-43.820801
231.2196	-43.820801
231.22016	-43.915039
231.22072	-44.009277
231.22128	-43.915039
231.22184	-44.009277
231.2224	-44.009277
231.22296	-43.820801
231.22352	-43.726563
231.22408	-43.820801
231.22464	-43.820801
231.2252	-43.726563
231.22576	-43.726563
231.22632	-43.915039
231.22688	-44.009277
231.22744	-43.915039
231.228	-44.009277
231.22856	-44.009277
231.22912	-44.009277
231.22968	-43.820801
231.23024	-43.915039
231.2308	-44.009277
231.23136	-43.915039
231.23192	-44.009277
231.23248	-43.820801
231.23304	-43.915039
231.2336	-43.915039
231.23416	-43.820801
231.23472	-43.632324
231.23528	-43.538086
231.23584	-43.443848
231.2364	-43.538086
231.23696	-43.632324
231.23752	-43.538086
231.23808	-43.632324
231.23864	-43.632324
231.2392	-43.632324
231.23976	-43.443848
231.24032	-43.349609
231.24088	-43.538086
231.24144	-43.538086
231.242	-43.443848
231.24256	-43.443848
231.24312	-43.632324
231.24368	-43.820801
231.24424	-43.726563
231.2448	-43.726563
231.24536	-43.632324
231.24592	-43.820801
231.24648	-43.538086
231.24704	-43.632324
231.2476	-43.726563
231.24816	-43.726563
231.24872	-43.820801
231.24928	-43.726563
231.24984	-43.915039
231.2504	-43.915039
231.25096	-43.820801
231.25152	-43.726563
231.25208	-43.632324
231.25264	-43.538086
231.2532	-43.726563
231.25376	-43.726563
231.25432	-43.915039
231.25488	-43.820801
231.25544	-43.915039
231.256	-43.820801
231.25656	-43.726563
231.25712	-43.820801
231.25768	-43.820801
231.25824	-43.915039
231.2588	-43.820801
231.25936	-43.915039
231.25992	-43.915039
231.26048	-44.197754
231.26104	-44.103516
231.2616	-44.103516
231.26216	-44.103516
231.26272	-43.915039
231.26328	-44.103516
